City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,isla vista,34.4133,-119.861,13.3,88,100,1.54,US,1711935460.501319
303,hithadhoo,-0.6,73.0833,28.98,72,93,2.95,MV,1711935461.2652538
304,kalmunai,7.4167,81.8167,27.47,76,17,0.53,LK,1711935461.6944451
305,kupino,54.3663,77.2981,0.72,99,100,3.99,RU,1711935462.1402612
306,laghouat,33.8,2.8651,14.81,61,16,2.35,DZ,1711935462.736953
307,novyy karanlug,39.7955,47.1099,9.72,78,0,0.57,AZ,1711935463.490955
308,tucurui,-3.7661,-49.6725,24.55,96,68,1.6,BR,1711935463.998912
309,quang ngai,15.1167,108.8,31.54,56,3,1.77,VN,1711935464.5370848
310,sale,34.0389,-6.8166,13.38,100,75,5.66,MA,1711935464.95934
311,dalandzadgad,43.5708,104.425,8.4,45,54,11.46,MN,1711935465.5185978
312,lidkoping,58.5052,13.1577,6.01,94,100,2.72,SE,1711935466.238257
313,nabire,-3.3667,135.4833,30.36,63,70,2.2,ID,1711935466.666157
314,parauapebas,-6.0675,-49.9022,23.88,97,83,0.17,BR,1711935467.3570502
315,watertown,42.3709,-71.1828,9.48,60,0,2.06,US,1711935467.8103979
316,massawa,15.6097,39.45,27.63,81,35,1.52,ER,1711935468.236959
317,eyl,7.9803,49.8164,26.52,77,11,4.65,SO,1711935468.660553
318,urangan,-25.3,152.9,24.55,89,100,1.79,AU,1711935469.2065878
319,khandyga,62.6667,135.6,-12.58,87,79,1.26,RU,1711935469.7667258
320,rio grande,-32.035,-52.0986,21.15,86,100,6.45,BR,1711935470.2161028
321,yuzhno-kurilsk,44.0306,145.8556,0.21,95,5,0.85,RU,1711935470.8887858
322,al muwayh,22.4333,41.7583,18.48,78,11,6.85,SA,1711935471.477233
323,san pablo villa de mitla,16.9167,-96.4,28.13,49,32,2.01,MX,1711935472.162901
324,pitomaca,45.9506,17.2294,15.0,65,100,3.27,HR,1711935472.613697
325,belmonte,-15.8631,-38.8828,26.56,86,40,1.7,BR,1711935473.064744
326,la passe,45.5549,-0.8967,9.99,83,70,6.76,FR,1711935473.522161
327,narrabri,-30.3167,149.7833,31.96,41,79,0.89,AU,1711935474.032468
328,buturlinovka,50.8239,40.6092,11.03,70,12,3.34,RU,1711935474.44784
329,paungde,18.4833,95.5,30.98,31,0,2.57,MM,1711935474.902007
330,praia da vitoria,38.7333,-27.0667,15.42,72,20,5.68,PT,1711935475.50365
331,magadan,59.5667,150.8,-1.41,76,35,4.81,RU,1711935475.9950662
